car_id,brand,model,year,fuel_type,transmission,body_type,color,engine_cc,mileage_kmpl,kms_driven,owners,seats,seller_type,condition,city,price
1,Hyundai,i20,2019,Petrol,Manual,Hatchback,Orange,1598,20.8,7811,1,7,Dealer,Good,Mumbai,1075000
2,Renault,Megane,2018,Petrol,Manual,Hatchback,Black,1000,11.7,40758,1,8,Certified Pre-Owned,Good,Chennai,266000
3,Mahindra,XEV 9e,2019,CNG,Automatic,Coupe,Silver,800,21.9,94800,2,5,Individual,Excellent,Chennai,1082000
4,Hyundai,Tucson,2016,Petrol,Automatic,SUV,Black,1598,23.1,18717,2,5,Individual,Good,Chennai,362000
5,Kia,Carens,2023,Petrol,Manual,Hatchback,Red,1199,21.8,70186,1,8,Dealer,Fair,Kolkata,945000
6,Volkswagen,Taigun,2019,Petrol,Automatic,Coupe,Blue,1598,18.9,104700,1,5,Certified Pre-Owned,Good,Lucknow,1227000
7,Hyundai,Verna,2017,CNG,Manual,Hatchback,Brown,2000,23.0,138704,1,5,Individual,Good,Ahmedabad,766000
8,Renault,Captur,2020,Petrol,Manual,MUV,White,2694,21.3,131225,2,5,Certified Pre-Owned,Fair,Chennai,556000
9,Renault,Koleos,2018,Petrol,AMT,Coupe,Orange,2755,27.7,5105,1,8,Dealer,Good,Ahmedabad,603000
10,Honda,City,2018,Electric,CVT,Hatchback,Green,1598,13.0,32967,1,4,Dealer,Poor,Jaipur,644000
11,Ford,Explorer,2018,Electric,AMT,Convertible,Red,1000,14.5,114845,3,4,Certified Pre-Owned,Excellent,Pune,397000
12,Maruti,Ignis,2023,Petrol,Manual,Hatchback,White,1248,22.0,86619,1,7,Dealer,Excellent,Mumbai,510000
13,Tata,Avinya,2024,Diesel,AMT,MUV,Red,2694,23.1,92876,1,4,Dealer,Excellent,Kolkata,1510000
14,Hyundai,i20,2021,Diesel,AMT,Hatchback,Red,1498,14.5,36747,1,7,Dealer,Excellent,Ahmedabad,1975000
15,Volkswagen,Jetta,2016,Petrol,DCT,Hatchback,Silver,2755,11.1,126185,1,2,Dealer,Excellent,Ahmedabad,608000
